the,1
project,88
gutenberg,98
ebook,12
of,7256
an,439
essay,18
concerning,70
humane,6
understanding,158
volume,7
i,1268
by,1227
john,5
locke,5
this,944
is,2494
for,1011
the,7653
use,243
anyone,7
anywhere,18
at,532
no,653
cost,3
and,4943
with,756
almost,41
restrictions,2
whatsoever,31
you,119
may,501
copy,15
it,2761
give,72
away,27
or,1989
re,3
under,89
terms,68
license,16
included,4
online,4
www,10
net,1
title,6
mdcxc,2
based,4
on,497
2nd,1
edition,11
books,6
ii,18
4,52
author,11
release,1
date,5
january,1
6,35
2004,1
10615,3
last,40
updated,2
august,1
23,13
2017,1
language,32
english,11
start,4
v1,1
produced,60
steve,2
harris,2
david,2
widger,2
in,3126
four,11
quam,6
bellum,1
est,4
velle,1
confiteri,1
potius,1
nescire,1
quod,4
nescias,1
ista,1
effutientem,1
nauseare,1
atque,2
ipsum,1
sibi,1
displicere,1
cic,1
de,10
natur,1
deor,1
1,107
london,4
printed,7
eliz,1
holt,1
thomas,2
basset,1
george,1
fleet,2
street,1
near,11
st,9
dunstan’s,1
church,4
contents,1
2d,1
epistle,3
dedicatory,1
to,4723
earl,2
pembroke,2
reader,16
introduction,2
book,29
neither,59
principles,157
nor,195
ideas,1398
are,1495
innate,297
speculative,15
practical,30
iii,4
other,618
considerations,20
both,98
general,119
their,711
original,58
simple,339
sensation,125
iv,4
idea,886
solidity,60
v,43
divers,10
senses,120
vi,2
reflection,99
vii,2
viii,2
some,397
further,95
our,886
ix,2
perception,92
x,2
retention,4
xi,3
discerning,7
operations,62
mind,592
xii,2
complex,193
xiii,2
modes,135
first,225
space,234
xiv,2
duration,251
its,387
xv,2
expansion,33
considered,109
together,160
xvi,3
number,145
xvii,3
infinity,80
xviii,2
xix,2
thinking,161
xx,3
pleasure,119
pain,147
xxi,4
power,316
xxii,2
mixed,48
xxiii,2
substances,156
xxiv,2
collective,16
xxv,2
relation,101
xxvi,2
cause,77
effect,34
relations,67
xxvii,3
identity,75
diversity,10
xxviii,4
xxix,2
clear,170
obscure,36
distinct,232
confused,54
xxx,2
real,116
fantastical,8
xxxi,2
adequate,34
inadequate,20
xxxii,2
true,126
false,78
xxxiii,2
association,6
right,78
honourable,3
montgomery,1
baron,1
herbert,2
cardiff,1
lord,10
ross,1
kendal,1
par,1
fitzhugh,1
marmion,1
quintin,1
shurland,1
president,1
his,498
majesty’s,1
most,190
privy,1
council,1
lieutenant,1
county,1
wilts,1
south,1
wales,1
my,138
treatise,11
which,1616
grown,13
up,161
your,39
lordship’s,2
eye,12
