"id","index","type","score","date","speaker","party","function","role","paragraphs_count","house","highlight text"
"uk.proc.d.1924-02-18.5.4.2","uk.proc","speech",1.707968,"1924-02-18","The PRIME MINISTER","unknown","","mp",5,"commons","The PRIME MINISTER: The Union of Socialist <em>Soviet</em> Republics, as established by the Constitution of the 6th July, 1923, consists of the following four Republics: The Russian Socialist Federal <em>Soviet</em> Republic, The Ukrainian Socialist <em>Soviet</em> Republic, The White Russian Socialist <em>Soviet</em> Republic, and The Transcaucasian Socialist Federal <em>Soviet</em> Republic."
"uk.proc.d.1957-07-18.6.4.1","uk.proc","speech",1.3366964,"1957-07-18","Sir L. Plummer","Labour","","mp",2,"commons","asked the President of the Board of Trade (1) what assistance is being given to British manufacturers desirous of trading with Union of <em>Soviet</em> Socialist Republics to enable them to accept orders from outside the planned sector of the <em>Soviet</em> economy; (2) what assistance is being given to British manufacturers desiring to trade with the Union of <em>Soviet</em> Socialist Republics to distinguish between orders placed outside the <em>Soviet</em> planned economy, and those offered from within the planned economy."
"uk.proc.d.1987-03-31.5.1.2","uk.proc","speech",1.3366964,"1987-03-31","The Lord Privy Seal and Leader of the House of Commons (Mr. John Biffen)","Conservative","The Lord Privy Seal and Leader of the House of Commons","government",2,"commons","I have been asked to reply. My right hon. Friend is currently on a visit to the <em>Soviet</em> Union."
"uk.proc.d.1925-04-01.2.4.2","uk.proc","speech",1.280976,"1925-04-01","Mr. CHAMBERLAIN","null","","mp",5,"commons","Mr. CHAMBERLAIN: The supreme executive organ of the <em>Soviet</em> Union is the Central Committee, of which there are four presidents, namely: M. Kalinin, President of the Central Executive Committee of the Russian Socialist Federal <em>Soviet</em> Republic. G Petrovski, President of the Central Executive Committee of the Ukraine Socialist <em>Soviet</em> Republic. A"
"uk.proc.d.1981-05-07.7.1.96","uk.proc","speech",1.280976,"1981-05-07","Viscount Cranborne","Conservative","","mp",2,"commons","Many well-informed people believe that the <em>Soviet</em> Union spends more on subversion in Northern Ireland than any other country in the Western world, with the exception of the United States of America. There can be no doubt that the <em>Soviet</em> Union's dominating influence has a dramatic effect on our consideration of the developing world. Too often, we"
"uk.proc.d.1958-04-28.9.5.2","uk.proc","speech",1.280976,"1958-04-28","The Minister of State for Foreign Affairs (Commander Allan Noble)","Conservative","The Minister of State for Foreign Affairs","government",2,"commons","Her Majesty's Government have recently proposed to the <em>Soviet</em> Government that talks should take place with a view to promoting the free exchange of information, views and contacts between the British and <em>Soviet</em> peoples. Cultural and other exchanges between this country and the <em>Soviet</em> Union similar to those envisaged in the agreement to which the"
"uk.proc.d.1969-04-22.8.1.2","uk.proc","speech",1.280976,"1969-04-22","The Secretary of State for Foreign and Commonwealth Affairs (Mr. Michael Stewart)","Labour","The Secretary of State for Foreign and Commonwealth Affairs","government",2,"commons","In an article in Izvestiya on 28th December, 1967, it was hinted that fresh charges might be brought against Mr. Brooke. Since then we have frequently impressed on the <em>Soviet</em> authorities the very serious consequences which any retrial of Mr. Brooke would have for Anglo-<em>Soviet</em> relations. I myself last spoke to the <em>Soviet</em> Ambassador about this on"
"uk.proc.d.1964-12-14.6.1.2","uk.proc","speech",1.2630593,"1964-12-14","Mr. George Thomson","Labour","The Minister of State, Foreign Office","government",2,"commons","A strong protest was made to the <em>Soviet</em> Government about this incident, which was a clear violation of diplomatic immunity, in contravention of Article 29 of the Vienna Convention to which both the <em>Soviet</em> Union and the United Kingdom are parties. Since the incident the <em>Soviet</em> authorities have not allowed our Assistant Naval Attaché to travel in"
"uk.proc.d.1975-02-18.6.1.15","uk.proc","speech",1.1693658,"1975-02-18","Mr. Thorpe","Liberal","","mp",2,"commons","Since any contracts will for the most part be with <em>Soviet</em> State trading agencies, and since the <em>Soviet</em> Union exports 50 million tons of oil a year, will the Prime Minister say why this line of credit should be required? Is it not somewhat ironic that we are borrowing what we can from the Shah of Persia and are then extending credit to the <em>Soviet</em>"
"uk.proc.d.1952-03-05.12.2.2","uk.proc","speech",1.1693658,"1952-03-05","Mr. Selwyn Lloyd","Conservative","The Minister of State","government",2,"commons","I have received a report that three British other ranks were arrested in the <em>Soviet</em> zone on 24th February. It is presumed that the three persons concerned are leading aircraftman Hickey, leading aircraftman Griffin and A.C.1 Shelton of the R.A.F. Regiment, who have been missing from their unit since the early hours of 24th February. The <em>Soviet</em>"
