type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb
link	post_page_15704546335	15704546335_10156559268261336	https://www.facebook.com/15704546335/posts/10156559268261336	"Some 100 people gathered at the impromptu event at the Taco Bell location and a band called “The Baja Angels” performed."	https://external.xx.fbcdn.net/safe_image.php?d=AQCBsghUcfQ5dyt5&w=130&h=130&url=http%3A%2F%2Fa57.foxnews.com%2Fimages.foxnews.com%2Fcontent%2Fdam%2Ffox-news%2Fimages%2F2018%2F01%2F23%2Ftacobellvigil2.jpg.img.png%2F0%2F0%2F1516720982244.png%3Fve%3D1&cfs=1&sx=560&sy=0&sw=720&sh=720&_nc_hash=AQAWtO-b0yJdP73l	https://external.xx.fbcdn.net/safe_image.php?d=AQBfc8oyn1BUy4VC&url=http%3A%2F%2Fa57.foxnews.com%2Fimages.foxnews.com%2Fcontent%2Fdam%2Ffox-news%2Fimages%2F2018%2F01%2F23%2Ftacobellvigil2.jpg.img.png%2F0%2F0%2F1516720982244.png%3Fve%3D1&_nc_hash=AQDPmx_tTG1FZrwJ	http://www.foxnews.com/food-drink/2018/01/23/taco-bell-fans-hold-vigil-to-mourn-restaurant-destroyed-in-blaze.html	foxnews.com	2018-01-24T09:00:01+0000	1516784401	"2018-01-24 10:00:01"	15	7	33	3	43
link	post_page_15704546335	15704546335_10156561274131336	https://www.facebook.com/15704546335/posts/10156561274131336	" There is no doubt in my mind this girl -- after barking for hours in the middle of the night -- may have saved our lives   the dog s owner said."	https://external.xx.fbcdn.net/safe_image.php?d=AQDU6f8UwY2Ejn-7&w=130&h=130&url=http%3A%2F%2Fa57.foxnews.com%2Fimages.foxnews.com%2Fcontent%2Ffox-news%2Fus%2F2018%2F01%2F23%2Fpersistent-pit-bull-dog-saves-owners-from-carbon-monoxide-poisoning%2F_jcr_content%2Fpar%2Ffeatured_image%2Fmedia-0.img.jpg%2F0%2F0%2F1516738289531.jpg%3Fve%3D1&cfs=1&_nc_hash=AQCG1GIdr38yIbZV	https://external.xx.fbcdn.net/safe_image.php?d=AQAKWk_NspukbVdb&url=http%3A%2F%2Fa57.foxnews.com%2Fimages.foxnews.com%2Fcontent%2Ffox-news%2Fus%2F2018%2F01%2F23%2Fpersistent-pit-bull-dog-saves-owners-from-carbon-monoxide-poisoning%2F_jcr_content%2Fpar%2Ffeatured_image%2Fmedia-0.img.jpg%2F0%2F0%2F1516738289531.jpg%3Fve%3D1&_nc_hash=AQC5022VnPyMqppU	http://fxn.ws/2BoaLmm	fxn.ws	2018-01-24T08:30:00+0000	1516782600	"2018-01-24 09:30:00"	512	70	660	104	834
video	post_page_15704546335	15704546335_10156561578156336	https://www.facebook.com/15704546335/posts/10156561578156336	" Some seriously screwed-up things have happened and we need to get to the bottom of all of it.   The  Special Report  panel discusses the latest on the Russia investigation."	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/26702970_1555609141161407_5240607021702578176_n.jpg?oh=7f5413c891720a2aa965a8f50968d265&oe=5B2259D9	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/26702970_1555609141161407_5240607021702578176_n.jpg?oh=0bbb2d38312341432f8456dd05b592c1&oe=5AF7F4FB	https://www.facebook.com/SpecialReport/videos/1555603564495298/	facebook.com	2018-01-24T08:00:00+0000	1516780800	"2018-01-24 09:00:00"	675	389	841	77	1307
link	post_page_15704546335	15704546335_10156561578566336	https://www.facebook.com/15704546335/posts/10156561578566336	" We look forward to delivering on our promise and sharing a few beers with our friends in Philly should the Eagles bring home the Lombardi Trophy. Fly Eagles Fly and just this once – Philly Philly.”"	https://external.xx.fbcdn.net/safe_image.php?d=AQA7W0jy5lKVqK5g&w=130&h=130&url=http%3A%2F%2Fa57.foxnews.com%2Fimages.foxnews.com%2Fcontent%2Ffox-news%2Ffood-drink%2F2018%2F01%2F23%2Fbud-light-might-buy-free-beer-for-philadelphia-if-eagles-win-super-bowl%2F_jcr_content%2Fpar%2Ffeatured_image%2Fmedia-0.img.jpg%2F0%2F0%2F1516716347440.jpg%3Fve%3D1&cfs=1&_nc_hash=AQArCMPKP7oLmAR6	https://external.xx.fbcdn.net/safe_image.php?d=AQChCLlM_UuWEpvZ&url=http%3A%2F%2Fa57.foxnews.com%2Fimages.foxnews.com%2Fcontent%2Ffox-news%2Ffood-drink%2F2018%2F01%2F23%2Fbud-light-might-buy-free-beer-for-philadelphia-if-eagles-win-super-bowl%2F_jcr_content%2Fpar%2Ffeatured_image%2Fmedia-0.img.jpg%2F0%2F0%2F1516716347440.jpg%3Fve%3D1&_nc_hash=AQAATPf6azEfzexs	http://fxn.ws/2n6lm1f	fxn.ws	2018-01-24T07:30:00+0000	1516779000	"2018-01-24 08:30:00"	320	248	432	83	763
link	post_page_15704546335	15704546335_10156561389886336	https://www.facebook.com/15704546335/posts/10156561389886336	"A Missouri State University freshman who accidentally “swiped left” on a fellow student named Claudia set out to find the woman he missed — by emailing every “Claudia” on campus."	https://external.xx.fbcdn.net/safe_image.php?d=AQBPjA-51GRLjZ0E&w=130&h=130&url=http%3A%2F%2Fa57.foxnews.com%2Fimages.foxnews.com%2Fcontent%2Ffox-news%2Ftech%2F2018%2F01%2F23%2Fmissouri-state-student-emails-all-claudias-on-campus-after-accidental-tinder-swipe%2F_jcr_content%2Fpar%2Ffeatured_image%2Fmedia-0.img.jpg%2F0%2F0%2F1516750156606.jpg%3Fve%3D1&cfs=1&sx=169&sy=0&sw=504&sh=504&_nc_hash=AQAo0HZP0irrtwG-	https://external.xx.fbcdn.net/safe_image.php?d=AQAepb5sGwI68EYl&url=http%3A%2F%2Fa57.foxnews.com%2Fimages.foxnews.com%2Fcontent%2Ffox-news%2Ftech%2F2018%2F01%2F23%2Fmissouri-state-student-emails-all-claudias-on-campus-after-accidental-tinder-swipe%2F_jcr_content%2Fpar%2Ffeatured_image%2Fmedia-0.img.jpg%2F0%2F0%2F1516750156606.jpg%3Fve%3D1&_nc_hash=AQAf0cGLQ9-csduz	http://fxn.ws/2DDxmjX	fxn.ws	2018-01-24T07:00:00+0000	1516777200	"2018-01-24 08:00:00"	758	455	1288	110	1853
link	post_page_15704546335	15704546335_10156561142516336	https://www.facebook.com/15704546335/posts/10156561142516336	"An Instagram user slammed President Donald J. Trump s Mar-a-Lago Club for using plastic instead of  mother of pearl  spoons for cavier  prompting responses from across the Internet  and even from The Late Show with Stephen Colbert."	https://external.xx.fbcdn.net/safe_image.php?d=AQAPybYjRVwi9J6S&w=130&h=130&url=http%3A%2F%2Fa57.foxnews.com%2Fmedia2.foxnews.com%2F2016%2F11%2F29%2F0%2F0%2F112916_aftershow_1280.jpg%3Fve%3D1&cfs=1&_nc_hash=AQDaCI0mpH6s7of4	https://external.xx.fbcdn.net/safe_image.php?d=AQDOwRGtqZ8rDlvC&url=http%3A%2F%2Fa57.foxnews.com%2Fmedia2.foxnews.com%2F2016%2F11%2F29%2F0%2F0%2F112916_aftershow_1280.jpg%3Fve%3D1&_nc_hash=AQAxJCrzrB7ZX1ec	http://fxn.ws/2DAd8Zv	fxn.ws	2018-01-24T06:30:00+0000	1516775400	"2018-01-24 07:30:00"	243	867	933	63	1863
video	post_page_15704546335	15704546335_10156561344636336	https://www.facebook.com/15704546335/posts/10156561344636336	"Fox News shared Fox Business s video."	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/26699646_10156134587125238_1672872448778829824_n.jpg?oh=052066f16b9e0257c3f9e0a1196c051c&oe=5AE3BBA6	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/26699646_10156134587125238_1672872448778829824_n.jpg?oh=cc6f217d16026d9c98734bea74ad78ca&oe=5AF6A654	https://www.facebook.com/FoxBusiness/videos/10156134574865238/	facebook.com	2018-01-24T06:00:01+0000	1516773601	"2018-01-24 07:00:01"	2982	932	3436	265	4633
link	post_page_15704546335	15704546335_10156561193091336	https://www.facebook.com/15704546335/posts/10156561193091336	"Lawmakers in Alabama are advancing a bill that would eliminate marriage licenses entirely  in turn helping judges avoid the gay marriage debate in the conservative state."	https://external.xx.fbcdn.net/safe_image.php?d=AQDfap2eazAhJXvU&w=130&h=130&url=http%3A%2F%2Fa57.foxnews.com%2Fimages.foxnews.com%2Fcontent%2Ffox-news%2Fpolitics%2F2018%2F01%2F23%2Falabama-lawmakers-move-to-eliminate-marriage-licenses-throw-up-hands-in-culture-wars%2F_jcr_content%2Fpar%2Ffeatured_image%2Fmedia-0.img.jpg%2F0%2F0%2F1516741193112.jpg%3Fve%3D1&cfs=1&_nc_hash=AQCFJPhqF5G2mIz-	https://external.xx.fbcdn.net/safe_image.php?d=AQCQQZAUFA30_Cwb&url=http%3A%2F%2Fa57.foxnews.com%2Fimages.foxnews.com%2Fcontent%2Ffox-news%2Fpolitics%2F2018%2F01%2F23%2Falabama-lawmakers-move-to-eliminate-marriage-licenses-throw-up-hands-in-culture-wars%2F_jcr_content%2Fpar%2Ffeatured_image%2Fmedia-0.img.jpg%2F0%2F0%2F1516741193112.jpg%3Fve%3D1&_nc_hash=AQDHvmxMzPs6-aZ5	http://fxn.ws/2F5qqJu	fxn.ws	2018-01-24T05:30:00+0000	1516771800	"2018-01-24 06:30:00"	771	1076	1520	287	2883
link	post_page_15704546335	15704546335_10156561918041336	https://www.facebook.com/15704546335/posts/10156561918041336	"A letter from Rep. Adam Schiff and Senator Dianne Feinstein claimed that recent Russian efforts were attempting “to influence congressional action and undermine Special Counsel Mueller’s investigation” into possible meddling into the 2016 presidential election."	https://external.xx.fbcdn.net/safe_image.php?d=AQB_7r2E0jSLb57T&w=130&h=130&url=http%3A%2F%2Fa57.foxnews.com%2Fimages.foxnews.com%2Fcontent%2Ffox-news%2Fpolitics%2F2018%2F01%2F23%2Fdems-feinstein-schiff-suggest-russian-bots-pushed-for-release-controversial-memo%2F_jcr_content%2Fpar%2Ffeatured_image%2Fmedia-0.img.jpg%2F0%2F0%2F1516756064822.jpg%3Fve%3D1&cfs=1&sx=0&sy=0&sw=504&sh=504&_nc_hash=AQCg-l27FpwklOd9	https://external.xx.fbcdn.net/safe_image.php?d=AQDRVS2XfEmCuz3w&url=http%3A%2F%2Fa57.foxnews.com%2Fimages.foxnews.com%2Fcontent%2Ffox-news%2Fpolitics%2F2018%2F01%2F23%2Fdems-feinstein-schiff-suggest-russian-bots-pushed-for-release-controversial-memo%2F_jcr_content%2Fpar%2Ffeatured_image%2Fmedia-0.img.jpg%2F0%2F0%2F1516756064822.jpg%3Fve%3D1&_nc_hash=AQDQQ7QAdoDdbVHE	http://www.foxnews.com/politics/2018/01/23/dems-feinstein-schiff-suggest-russian-bots-pushed-for-release-controversial-memo.html	foxnews.com	2018-01-24T05:00:00+0000	1516770000	"2018-01-24 06:00:00"	389	3239	3271	437	6947
video	post_page_15704546335	15704546335_10156559647936336	https://www.facebook.com/15704546335/posts/10156559647936336	"WATCH: An erupting volcano caused an avalanche at a mountain resort in central Japan. http://fxn.ws/2DEzuIs"	https://scontent.xx.fbcdn.net/v/t15.0-10/p130x130/26705396_10156559658026336_1516450027621318656_n.jpg?oh=e3fad5f3d3512487dba3d30b83dfb42a&oe=5AEA0FAC	https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/26705396_10156559658026336_1516450027621318656_n.jpg?oh=e71dcb924fe38d6ba9229dd41a470453&oe=5B23BB5E	https://www.facebook.com/FoxNews/videos/10156559647936336/	facebook.com	2018-01-24T04:30:00+0000	1516768200	"2018-01-24 05:30:00"	267	159	650	171	980
