country	2018-01-21T08:00:00+0000	2018-01-22T08:00:00+0000
AE	73136	73143
AF	42866	42891
AR	46567	46562
AU	82332	82336
BD	202339	202342
BR	290014	290006
CA	151915	151936
CO	54871	54870
DE	58274	58288
DZ	54913	54917
EG	236719	236702
ET	50258	50261
FR	41129	41128
GB	142216	142230
GH	71177	71195
ID	133334	133334
IL	35463	35461
IN	578416	578420
IQ	100394	100398
IR	39703	39703
IT	62754	62760
KE	54037	54041
KH	136399	136411
LK	33151	33155
MA	56599	56606
MM	154773	154772
MX	171554	171556
MY	129856	129849
NG	281696	281757
NP	63278	63281
PE	45097	45102
PH	507975	507995
PK	301312	301320
RO	31436	31441
SA	97548	97534
SG	32092	32092
TH	121979	121982
TN	48771	48768
TR	57820	57813
TW	30509	30508
TZ	29908	29912
UG	38715	38728
US	9887596	9890654
VN	99818	99817
ZA	51238	51247
SUM	15011947	15015224
