post_id	post_text	post_published	comment_id	comment_message	comment_published	comment_like_count	attachment_type	attachment_url
15704546335_10156559268261336	"Some 100 people gathered at the impromptu event at the Taco Bell location and a band called “The Baja Angels” performed."	2018-01-24T09:00:01+0000	10156559268261336_10156562491181336	"Don't let this distract you from the fact that tRUMP paid off a porn star which Fox news never talk about."	2018-01-24T09:01:42+0000	0		
15704546335_10156559268261336	"Some 100 people gathered at the impromptu event at the Taco Bell location and a band called “The Baja Angels” performed."	2018-01-24T09:00:01+0000	10156559268261336_10156562488166336	"Any time a great Mexican restaurant is destroyed by a fire or a drunk driver a memorial must be built. Taco Bell is the greatest."	2018-01-24T09:00:52+0000	2		
15704546335_10156559268261336	"Some 100 people gathered at the impromptu event at the Taco Bell location and a band called “The Baja Angels” performed."	2018-01-24T09:00:01+0000	10156559268261336_10156562493021336	"I don't know how people can still eat there.  They have had so many sanitation and health code violations it's not even funny."	2018-01-24T09:02:28+0000	0		
15704546335_10156559268261336	"Some 100 people gathered at the impromptu event at the Taco Bell location and a band called “The Baja Angels” performed."	2018-01-24T09:00:01+0000	10156559268261336_10156562493196336	"Your wife the porn star ?"	2018-01-24T09:02:35+0000	0		
15704546335_10156559268261336	"Some 100 people gathered at the impromptu event at the Taco Bell location and a band called “The Baja Angels” performed."	2018-01-24T09:00:01+0000	10156559268261336_10156562492811336	"How embarrassing for them."	2018-01-24T09:02:22+0000	0		
15704546335_10156559268261336	"Some 100 people gathered at the impromptu event at the Taco Bell location and a band called “The Baja Angels” performed."	2018-01-24T09:00:01+0000	10156559268261336_10156562492356336	"Jobless idiots"	2018-01-24T09:02:13+0000	1		
15704546335_10156561274131336	" There is no doubt in my mind this girl -- after barking for hours in the middle of the night -- may have saved our lives   the dog s owner said."	2018-01-24T08:30:00+0000	10156561274131336_10156562441781336	"Pitbulls they kill more than saving lives."	2018-01-24T08:32:22+0000	4		
15704546335_10156561274131336	" There is no doubt in my mind this girl -- after barking for hours in the middle of the night -- may have saved our lives   the dog s owner said."	2018-01-24T08:30:00+0000	10156561274131336_10156562444916336	"Not even a truck load of brave dogs are gonna save Covfefe from Mueller's demand for an interview , Trump's dog days are numbered ! 😄😄HA HA HAAAAAAA"	2018-01-24T08:34:23+0000	0		
15704546335_10156561274131336	" There is no doubt in my mind this girl -- after barking for hours in the middle of the night -- may have saved our lives   the dog s owner said."	2018-01-24T08:30:00+0000	10156561274131336_10156562441136336	"I keep telling my husband that our pit doesn't bark just to hear herself bark! Great dogs and so loyal too!"	2018-01-24T08:31:55+0000	9		
15704546335_10156561274131336	" There is no doubt in my mind this girl -- after barking for hours in the middle of the night -- may have saved our lives   the dog s owner said."	2018-01-24T08:30:00+0000	10156561274131336_10156562444611336	"My next door neighbors dog barks all night, every night. A lil carbon monoxide in a bottle,thrown over the fence, would help me sleep again!! HAHAHAHA"	2018-01-24T08:34:15+0000	2		
